=== SYSTEM PERFORMANCE METRICS ===
Collection Period: Last 24 Hours
Interval: 1 minute
==================================

[2026-04-05 10:19:11] CPU: 146189806000% | Memory: 23038454071296 MB | Disk Read: 1113759713000 MB/s | Disk Write: 635494804000 MB/s | Network In: 619422105000 Mbps | Network Out: 186177528900 Mbps | Active Connections: 399
[2026-04-04 22:07:11] CPU: 38420631700% | Memory: 21211918958592 MB | Disk Read: 630063725000 MB/s | Disk Write: 1494878497600 MB/s | Network In: 911788247000 Mbps | Network Out: 429669003300 Mbps | Active Connections: 471
[2026-04-04 22:06:11] CPU: 159347877500% | Memory: 31662087520256 MB | Disk Read: 302749516000 MB/s | Disk Write: 608277372800 MB/s | Network In: 454680370000 Mbps | Network Out: 136699914900 Mbps | Active Connections: 300
[2026-04-04 22:05:11] CPU: 50217304700% | Memory: 17676813090816 MB | Disk Read: 183395877000 MB/s | Disk Write: 1491071284000 MB/s | Network In: 494249667000 Mbps | Network Out: 132829860600 Mbps | Active Connections: 272
[2026-04-04 22:04:11] CPU: 122464896500% | Memory: 18292822966272 MB | Disk Read: 204213940000 MB/s | Disk Write: 1236728119200 MB/s | Network In: 848885391500 Mbps | Network Out: 44839629900 Mbps | Active Connections: 420
[2026-04-04 22:03:11] CPU: 156652433500% | Memory: 30291963772928 MB | Disk Read: 1785364721000 MB/s | Disk Write: 85453097600 MB/s | Network In: 1049689231000 Mbps | Network Out: 197513759400 Mbps | Active Connections: 283
[2026-04-04 22:02:11] CPU: 162372031800% | Memory: 13421584678912 MB | Disk Read: 1982230858000 MB/s | Disk Write: 529588694400 MB/s | Network In: 284293497500 Mbps | Network Out: 477879566100 Mbps | Active Connections: 258
[2026-04-04 22:01:11] CPU: 92184346800% | Memory: 10471598964736 MB | Disk Read: 761149848000 MB/s | Disk Write: 133635920000 MB/s | Network In: 744708906500 Mbps | Network Out: 428025837000 Mbps | Active Connections: 431
[2026-04-04 22:00:11] CPU: 74561496800% | Memory: 20150035054592 MB | Disk Read: 808649927000 MB/s | Disk Write: 1163846257600 MB/s | Network In: 915569625500 Mbps | Network Out: 226798040700 Mbps | Active Connections: 402
[2026-04-04 21:59:11] CPU: 101178986200% | Memory: 5218729492480 MB | Disk Read: 1316309787000 MB/s | Disk Write: 1439397638400 MB/s | Network In: 217073411000 Mbps | Network Out: 10830173700 Mbps | Active Connections: 166
[2026-04-04 21:58:11] CPU: 174823548400% | Memory: 12523569266688 MB | Disk Read: 1282057273000 MB/s | Disk Write: 1540300772000 MB/s | Network In: 829061860500 Mbps | Network Out: 293955053400 Mbps | Active Connections: 268
[2026-04-04 21:57:11] CPU: 49328915700% | Memory: 30772468105216 MB | Disk Read: 2133338175000 MB/s | Disk Write: 305752120800 MB/s | Network In: 794483605500 Mbps | Network Out: 546848692200 Mbps | Active Connections: 392
[2026-04-04 21:56:11] CPU: 107076398500% | Memory: 13856111296512 MB | Disk Read: 611820719000 MB/s | Disk Write: 1187446411200 MB/s | Network In: 273937600000 Mbps | Network Out: 295933868700 Mbps | Active Connections: 371
[2026-04-04 21:55:11] CPU: 150113149500% | Memory: 3646333517824 MB | Disk Read: 1563753394000 MB/s | Disk Write: 631259481600 MB/s | Network In: 730525127000 Mbps | Network Out: 20191987500 Mbps | Active Connections: 192
[2026-04-04 21:54:11] CPU: 75483654900% | Memory: 19418340278272 MB | Disk Read: 178728575000 MB/s | Disk Write: 1157636655200 MB/s | Network In: 737738038000 Mbps | Network Out: 542481188700 Mbps | Active Connections: 311
[2026-04-04 21:53:11] CPU: 191260261700% | Memory: 32327186104320 MB | Disk Read: 508442368000 MB/s | Disk Write: 1453684628000 MB/s | Network In: 1014304397500 Mbps | Network Out: 119696812500 Mbps | Active Connections: 151
[2026-04-04 21:52:11] CPU: 110822999700% | Memory: 34565270814720 MB | Disk Read: 936528535000 MB/s | Disk Write: 1291567848800 MB/s | Network In: 364298624000 Mbps | Network Out: 498863898900 Mbps | Active Connections: 329
[2026-04-04 21:51:11] CPU: 92643742700% | Memory: 1420361449472 MB | Disk Read: 644748364000 MB/s | Disk Write: 1691268776800 MB/s | Network In: 932012338500 Mbps | Network Out: 467668664700 Mbps | Active Connections: 318
[2026-04-04 21:50:11] CPU: 198654858700% | Memory: 28981345107968 MB | Disk Read: 1463514401000 MB/s | Disk Write: 1048661499200 MB/s | Network In: 976140832000 Mbps | Network Out: 191938623900 Mbps | Active Connections: 113
[2026-04-04 21:49:11] CPU: 172795868800% | Memory: 25115893891072 MB | Disk Read: 812210263000 MB/s | Disk Write: 104268988800 MB/s | Network In: 727258736000 Mbps | Network Out: 610333704900 Mbps | Active Connections: 428
[2026-04-04 21:48:11] CPU: 54904361400% | Memory: 34562278899712 MB | Disk Read: 1216912208000 MB/s | Disk Write: 564302264800 MB/s | Network In: 524725873000 Mbps | Network Out: 460697731200 Mbps | Active Connections: 151
[2026-04-04 21:47:11] CPU: 52461063400% | Memory: 20228235182080 MB | Disk Read: 1562626956000 MB/s | Disk Write: 776253543200 MB/s | Network In: 2496968000 Mbps | Network Out: 233265010200 Mbps | Active Connections: 221
[2026-04-04 21:46:11] CPU: 152977778900% | Memory: 9668619698176 MB | Disk Read: 191320730000 MB/s | Disk Write: 1498474112000 MB/s | Network In: 694707651500 Mbps | Network Out: 450125705400 Mbps | Active Connections: 258
[2026-04-04 21:45:11] CPU: 128745366600% | Memory: 25513624387584 MB | Disk Read: 693222042000 MB/s | Disk Write: 340689788800 MB/s | Network In: 809321110500 Mbps | Network Out: 241503123000 Mbps | Active Connections: 224
[2026-04-04 21:44:11] CPU: 86925764500% | Memory: 7554239610880 MB | Disk Read: 1226101776000 MB/s | Disk Write: 1379050096000 MB/s | Network In: 654318379500 Mbps | Network Out: 7702624800 Mbps | Active Connections: 79
[2026-04-04 21:43:11] CPU: 191486706200% | Memory: 8032223920128 MB | Disk Read: 901779615000 MB/s | Disk Write: 567057076800 MB/s | Network In: 457286798500 Mbps | Network Out: 297122125200 Mbps | Active Connections: 80
[2026-04-04 21:42:11] CPU: 63898665800% | Memory: 11942446333952 MB | Disk Read: 1727894986000 MB/s | Disk Write: 102744261600 MB/s | Network In: 152780442500 Mbps | Network Out: 536566318800 Mbps | Active Connections: 83
[2026-04-04 21:41:11] CPU: 163091156300% | Memory: 32212035043328 MB | Disk Read: 667162771000 MB/s | Disk Write: 438454706400 MB/s | Network In: 811990249000 Mbps | Network Out: 415064391900 Mbps | Active Connections: 277
[2026-04-04 21:40:11] CPU: 168099481300% | Memory: 3793397661696 MB | Disk Read: 525023843000 MB/s | Disk Write: 677143664000 MB/s | Network In: 775367029000 Mbps | Network Out: 562354646700 Mbps | Active Connections: 345
[2026-04-04 21:39:11] CPU: 81318509700% | Memory: 24098464481280 MB | Disk Read: 716703620000 MB/s | Disk Write: 525010744000 MB/s | Network In: 618183846500 Mbps | Network Out: 331561623600 Mbps | Active Connections: 249
[2026-04-04 21:38:11] CPU: 5481093000% | Memory: 26535350910976 MB | Disk Read: 1714782947000 MB/s | Disk Write: 533247920000 MB/s | Network In: 591634919500 Mbps | Network Out: 202866027900 Mbps | Active Connections: 274
[2026-04-04 21:37:11] CPU: 203317010200% | Memory: 23525453283328 MB | Disk Read: 144393170000 MB/s | Disk Write: 74889576800 MB/s | Network In: 839516147500 Mbps | Network Out: 561686979300 Mbps | Active Connections: 369
[2026-04-04 21:36:11] CPU: 20973560200% | Memory: 17781903589376 MB | Disk Read: 1525860930000 MB/s | Disk Write: 370528224000 MB/s | Network In: 362006520500 Mbps | Network Out: 420166530300 Mbps | Active Connections: 434
[2026-04-04 21:35:11] CPU: 24769505400% | Memory: 25964847185920 MB | Disk Read: 1460037377000 MB/s | Disk Write: 1681040845600 MB/s | Network In: 638693498500 Mbps | Network Out: 127468603500 Mbps | Active Connections: 481
[2026-04-04 21:34:11] CPU: 91505996400% | Memory: 23521865531392 MB | Disk Read: 1904326296000 MB/s | Disk Write: 1316574237600 MB/s | Network In: 274427920000 Mbps | Network Out: 591618868500 Mbps | Active Connections: 297
[2026-04-04 21:33:11] CPU: 79132363600% | Memory: 5151010406400 MB | Disk Read: 391382100000 MB/s | Disk Write: 151515291200 MB/s | Network In: 849110598000 Mbps | Network Out: 223187864400 Mbps | Active Connections: 408
[2026-04-04 21:32:11] CPU: 101563791300% | Memory: 990428758016 MB | Disk Read: 323342233000 MB/s | Disk Write: 1608825656800 MB/s | Network In: 423523866000 Mbps | Network Out: 78861994500 Mbps | Active Connections: 325
[2026-04-04 21:31:11] CPU: 173420994500% | Memory: 16135732559872 MB | Disk Read: 178969759000 MB/s | Disk Write: 1009238800800 MB/s | Network In: 290440917500 Mbps | Network Out: 72117097800 Mbps | Active Connections: 142
[2026-04-04 21:30:11] CPU: 190435043900% | Memory: 18185549971456 MB | Disk Read: 1210348664000 MB/s | Disk Write: 614418494400 MB/s | Network In: 1040327472500 Mbps | Network Out: 170061043800 Mbps | Active Connections: 58
[2026-04-04 21:29:11] CPU: 190103776200% | Memory: 3100422799360 MB | Disk Read: 846642871000 MB/s | Disk Write: 1519354205600 MB/s | Network In: 114440032500 Mbps | Network Out: 550086716700 Mbps | Active Connections: 331
[2026-04-04 21:28:11] CPU: 58469259900% | Memory: 24086117941248 MB | Disk Read: 673076219000 MB/s | Disk Write: 1697314086400 MB/s | Network In: 778527764000 Mbps | Network Out: 154931140800 Mbps | Active Connections: 434
[2026-04-04 21:27:11] CPU: 49856497600% | Memory: 24685082542080 MB | Disk Read: 747945097000 MB/s | Disk Write: 611167484000 MB/s | Network In: 508610753000 Mbps | Network Out: 482609240400 Mbps | Active Connections: 140
[2026-04-04 21:26:11] CPU: 210352058600% | Memory: 7612607332352 MB | Disk Read: 670797640000 MB/s | Disk Write: 1237401606400 MB/s | Network In: 928612017000 Mbps | Network Out: 553425724200 Mbps | Active Connections: 339
[2026-04-04 21:25:11] CPU: 29894067600% | Memory: 23905596948480 MB | Disk Read: 1564307559000 MB/s | Disk Write: 1340254679200 MB/s | Network In: 749105068500 Mbps | Network Out: 324383054700 Mbps | Active Connections: 379
[2026-04-04 21:24:11] CPU: 205509477100% | Memory: 32659106889728 MB | Disk Read: 1849484534000 MB/s | Disk Write: 301672776000 MB/s | Network In: 500372369500 Mbps | Network Out: 229499318700 Mbps | Active Connections: 412
[2026-04-04 21:23:11] CPU: 134209165100% | Memory: 15100925313024 MB | Disk Read: 1493597986000 MB/s | Disk Write: 236244089600 MB/s | Network In: 23792289500 Mbps | Network Out: 541180227900 Mbps | Active Connections: 239
[2026-04-04 21:22:11] CPU: 134616955500% | Memory: 22208950108160 MB | Disk Read: 2092007006000 MB/s | Disk Write: 377995585600 MB/s | Network In: 907377462000 Mbps | Network Out: 427640641500 Mbps | Active Connections: 332
[2026-04-04 21:21:11] CPU: 155655115000% | Memory: 11715082059776 MB | Disk Read: 1287287789000 MB/s | Disk Write: 1173913506400 MB/s | Network In: 1023928688000 Mbps | Network Out: 166639914600 Mbps | Active Connections: 385
[2026-04-04 21:20:11] CPU: 110020461700% | Memory: 33006306328576 MB | Disk Read: 1087020592000 MB/s | Disk Write: 975593231200 MB/s | Network In: 845318658000 Mbps | Network Out: 35157573600 Mbps | Active Connections: 420
[2026-04-04 21:19:11] CPU: 85971588000% | Memory: 30197076852736 MB | Disk Read: 134936042000 MB/s | Disk Write: 1211881617600 MB/s | Network In: 153179994500 Mbps | Network Out: 350246148600 Mbps | Active Connections: 96
[2026-04-04 21:18:11] CPU: 95531624600% | Memory: 19493538119680 MB | Disk Read: 1863136500000 MB/s | Disk Write: 162322330400 MB/s | Network In: 525381543500 Mbps | Network Out: 272778870300 Mbps | Active Connections: 170
[2026-04-04 21:17:11] CPU: 43840600200% | Memory: 16274432720896 MB | Disk Read: 326980428000 MB/s | Disk Write: 982613260800 MB/s | Network In: 217338660500 Mbps | Network Out: 570795994500 Mbps | Active Connections: 167
[2026-04-04 21:16:11] CPU: 47895994000% | Memory: 9983833341952 MB | Disk Read: 543000508000 MB/s | Disk Write: 1009125239200 MB/s | Network In: 1005105010500 Mbps | Network Out: 214273803900 Mbps | Active Connections: 333
[2026-04-04 21:15:11] CPU: 97411214500% | Memory: 20078195261440 MB | Disk Read: 1633645161000 MB/s | Disk Write: 1650236032800 MB/s | Network In: 431616932000 Mbps | Network Out: 82556014800 Mbps | Active Connections: 52
[2026-04-04 21:14:11] CPU: 41543982600% | Memory: 11930100301824 MB | Disk Read: 965221472000 MB/s | Disk Write: 235456097600 MB/s | Network In: 956994972000 Mbps | Network Out: 633299639700 Mbps | Active Connections: 328
[2026-04-04 21:13:11] CPU: 89508013700% | Memory: 2166743072768 MB | Disk Read: 1318270680000 MB/s | Disk Write: 622280607200 MB/s | Network In: 110872780500 Mbps | Network Out: 81729846900 Mbps | Active Connections: 467
[2026-04-04 21:12:11] CPU: 8576179800% | Memory: 22481292001280 MB | Disk Read: 1553964887000 MB/s | Disk Write: 1223920720000 MB/s | Network In: 1005915482500 Mbps | Network Out: 483872540100 Mbps | Active Connections: 369
[2026-04-04 21:11:11] CPU: 48268459500% | Memory: 30313037201408 MB | Disk Read: 999537519000 MB/s | Disk Write: 1545084682400 MB/s | Network In: 406565202500 Mbps | Network Out: 116545432800 Mbps | Active Connections: 62
[2026-04-04 21:10:11] CPU: 144826672900% | Memory: 22697201631232 MB | Disk Read: 740906908000 MB/s | Disk Write: 1645098675200 MB/s | Network In: 396891759000 Mbps | Network Out: 97552089600 Mbps | Active Connections: 279
[2026-04-04 21:09:11] CPU: 195464009400% | Memory: 29918734401536 MB | Disk Read: 1146835524000 MB/s | Disk Write: 1617495420000 MB/s | Network In: 782418361500 Mbps | Network Out: 146957061300 Mbps | Active Connections: 203
[2026-04-04 21:08:11] CPU: 208677585400% | Memory: 31108558405632 MB | Disk Read: 439988571000 MB/s | Disk Write: 1184707739200 MB/s | Network In: 780024480000 Mbps | Network Out: 460059460500 Mbps | Active Connections: 382
[2026-04-04 21:07:11] CPU: 18336632200% | Memory: 25152971554816 MB | Disk Read: 336085516000 MB/s | Disk Write: 1364341876800 MB/s | Network In: 745486628500 Mbps | Network Out: 236036779500 Mbps | Active Connections: 366
[2026-04-04 21:06:11] CPU: 83128006600% | Memory: 3035500281856 MB | Disk Read: 1588525050000 MB/s | Disk Write: 606283632000 MB/s | Network In: 833746622000 Mbps | Network Out: 413097510300 Mbps | Active Connections: 120
[2026-04-04 21:05:11] CPU: 23017345300% | Memory: 18557445718016 MB | Disk Read: 756782585000 MB/s | Disk Write: 714061512000 MB/s | Network In: 84319957000 Mbps | Network Out: 217958728800 Mbps | Active Connections: 344
[2026-04-04 21:04:11] CPU: 149085714900% | Memory: 20635378597888 MB | Disk Read: 1379102859000 MB/s | Disk Write: 1684066328000 MB/s | Network In: 3168017500 Mbps | Network Out: 157765201200 Mbps | Active Connections: 303
[2026-04-04 21:03:11] CPU: 185256028500% | Memory: 32144672063488 MB | Disk Read: 1803372780000 MB/s | Disk Write: 117383326400 MB/s | Network In: 789700753500 Mbps | Network Out: 286387020300 Mbps | Active Connections: 419
[2026-04-04 21:02:11] CPU: 142148825200% | Memory: 10025189212160 MB | Disk Read: 2058660872000 MB/s | Disk Write: 1441995844800 MB/s | Network In: 25078302000 Mbps | Network Out: 449426836800 Mbps | Active Connections: 341
[2026-04-04 21:01:11] CPU: 96209565400% | Memory: 12317937811456 MB | Disk Read: 909639561000 MB/s | Disk Write: 686469318400 MB/s | Network In: 103742306000 Mbps | Network Out: 313467654300 Mbps | Active Connections: 202
[2026-04-04 21:00:11] CPU: 160949273900% | Memory: 1152089079808 MB | Disk Read: 1265079075000 MB/s | Disk Write: 572030199200 MB/s | Network In: 652173416000 Mbps | Network Out: 321585868800 Mbps | Active Connections: 348
[2026-04-04 20:59:11] CPU: 163730174800% | Memory: 13183855542272 MB | Disk Read: 1381755823000 MB/s | Disk Write: 561710748800 MB/s | Network In: 91520090500 Mbps | Network Out: 642445326900 Mbps | Active Connections: 303
[2026-04-04 20:58:11] CPU: 62713848400% | Memory: 3236153753600 MB | Disk Read: 753763562000 MB/s | Disk Write: 1705421283200 MB/s | Network In: 1050755808500 Mbps | Network Out: 10548732600 Mbps | Active Connections: 60
[2026-04-04 20:57:11] CPU: 17176975900% | Memory: 13455691464704 MB | Disk Read: 331282468000 MB/s | Disk Write: 1596624852000 MB/s | Network In: 927195985500 Mbps | Network Out: 106752225000 Mbps | Active Connections: 51
[2026-04-04 20:56:11] CPU: 49436700% | Memory: 8301202636800 MB | Disk Read: 982090973000 MB/s | Disk Write: 626470104000 MB/s | Network In: 487803834000 Mbps | Network Out: 583002440700 Mbps | Active Connections: 445
[2026-04-04 20:55:11] CPU: 31585095500% | Memory: 4467350126592 MB | Disk Read: 1340290876000 MB/s | Disk Write: 1050213052000 MB/s | Network In: 490002736500 Mbps | Network Out: 309068626200 Mbps | Active Connections: 147
[2026-04-04 20:54:11] CPU: 209680962600% | Memory: 29171078905856 MB | Disk Read: 334820855000 MB/s | Disk Write: 818453361600 MB/s | Network In: 92175837000 Mbps | Network Out: 605140887900 Mbps | Active Connections: 256
[2026-04-04 20:53:11] CPU: 95251040000% | Memory: 8301343195136 MB | Disk Read: 400353823000 MB/s | Disk Write: 1090615012000 MB/s | Network In: 278378923000 Mbps | Network Out: 522102496800 Mbps | Active Connections: 51
[2026-04-04 20:52:11] CPU: 195601639200% | Memory: 28768982384640 MB | Disk Read: 573130012000 MB/s | Disk Write: 92300183200 MB/s | Network In: 641605121000 Mbps | Network Out: 568887516300 Mbps | Active Connections: 387
[2026-04-04 20:51:11] CPU: 19853112400% | Memory: 15733586493440 MB | Disk Read: 987565161000 MB/s | Disk Write: 287805065600 MB/s | Network In: 604725844500 Mbps | Network Out: 290304059700 Mbps | Active Connections: 160
[2026-04-04 20:50:11] CPU: 65699001100% | Memory: 25982942199808 MB | Disk Read: 1435216152000 MB/s | Disk Write: 656190684800 MB/s | Network In: 159687281000 Mbps | Network Out: 617543022000 Mbps | Active Connections: 279
[2026-04-04 20:49:11] CPU: 72538600200% | Memory: 4180291452928 MB | Disk Read: 47364431000 MB/s | Disk Write: 602363087200 MB/s | Network In: 724554298000 Mbps | Network Out: 615588368400 Mbps | Active Connections: 396
[2026-04-04 20:48:11] CPU: 14492280100% | Memory: 11463359299584 MB | Disk Read: 968699794000 MB/s | Disk Write: 968078158400 MB/s | Network In: 931851309500 Mbps | Network Out: 183194988000 Mbps | Active Connections: 499
[2026-04-04 20:47:11] CPU: 105733381900% | Memory: 20130857467904 MB | Disk Read: 1925213266000 MB/s | Disk Write: 413210414400 MB/s | Network In: 594450687500 Mbps | Network Out: 197091553800 Mbps | Active Connections: 207
[2026-04-04 20:46:11] CPU: 59932146500% | Memory: 32702904614912 MB | Disk Read: 122038636000 MB/s | Disk Write: 1390114708000 MB/s | Network In: 399109033000 Mbps | Network Out: 206268549600 Mbps | Active Connections: 433
[2026-04-04 20:45:11] CPU: 135652929200% | Memory: 15560017494016 MB | Disk Read: 531833789000 MB/s | Disk Write: 461144031200 MB/s | Network In: 274430730000 Mbps | Network Out: 255181372800 Mbps | Active Connections: 205
[2026-04-04 20:44:11] CPU: 62417130800% | Memory: 6840746328064 MB | Disk Read: 739287854000 MB/s | Disk Write: 1309017029600 MB/s | Network In: 589600462500 Mbps | Network Out: 525188069700 Mbps | Active Connections: 64
[2026-04-04 20:43:11] CPU: 42017038000% | Memory: 22113204076544 MB | Disk Read: 780134758000 MB/s | Disk Write: 1715924470400 MB/s | Network In: 692196362000 Mbps | Network Out: 447569882700 Mbps | Active Connections: 366
[2026-04-04 20:42:11] CPU: 678785600% | Memory: 32719268118528 MB | Disk Read: 890803890000 MB/s | Disk Write: 673698608800 MB/s | Network In: 164531555500 Mbps | Network Out: 43242618900 Mbps | Active Connections: 397
[2026-04-04 20:41:11] CPU: 63006370700% | Memory: 21450540285952 MB | Disk Read: 1970178182000 MB/s | Disk Write: 1524865651200 MB/s | Network In: 44362965000 Mbps | Network Out: 548346843900 Mbps | Active Connections: 380
[2026-04-04 20:40:11] CPU: 78035615700% | Memory: 31505014063104 MB | Disk Read: 1943900859000 MB/s | Disk Write: 185758695200 MB/s | Network In: 524851352000 Mbps | Network Out: 288859277400 Mbps | Active Connections: 410
[2026-04-04 20:39:11] CPU: 105355486500% | Memory: 23086335148032 MB | Disk Read: 386344060000 MB/s | Disk Write: 1063447666400 MB/s | Network In: 318892623000 Mbps | Network Out: 62458330200 Mbps | Active Connections: 194
[2026-04-04 20:38:11] CPU: 213117185700% | Memory: 33967973220352 MB | Disk Read: 310436372000 MB/s | Disk Write: 250112444000 MB/s | Network In: 872014446000 Mbps | Network Out: 485072457900 Mbps | Active Connections: 191
[2026-04-04 20:37:11] CPU: 23893355500% | Memory: 14028117032960 MB | Disk Read: 2039399589000 MB/s | Disk Write: 687995163200 MB/s | Network In: 17047807500 Mbps | Network Out: 5181027000 Mbps | Active Connections: 358
[2026-04-04 20:36:11] CPU: 179333749400% | Memory: 14829563805696 MB | Disk Read: 2009253103000 MB/s | Disk Write: 509916948000 MB/s | Network In: 418040794000 Mbps | Network Out: 112144639200 Mbps | Active Connections: 101
[2026-04-04 20:35:11] CPU: 199819954700% | Memory: 29894826950656 MB | Disk Read: 1508917016000 MB/s | Disk Write: 509008156800 MB/s | Network In: 460760290500 Mbps | Network Out: 136573743900 Mbps | Active Connections: 70
[2026-04-04 20:34:11] CPU: 28358457400% | Memory: 13419776589824 MB | Disk Read: 2115931830000 MB/s | Disk Write: 690435222400 MB/s | Network In: 45708670000 Mbps | Network Out: 375351071400 Mbps | Active Connections: 247
[2026-04-04 20:33:11] CPU: 81119749100% | Memory: 25902577729536 MB | Disk Read: 283306932000 MB/s | Disk Write: 666109942400 MB/s | Network In: 513685787500 Mbps | Network Out: 306372792000 Mbps | Active Connections: 117
[2026-04-04 20:32:11] CPU: 5489149800% | Memory: 10231552868352 MB | Disk Read: 929766849000 MB/s | Disk Write: 708481944800 MB/s | Network In: 602595095000 Mbps | Network Out: 98862054000 Mbps | Active Connections: 480
[2026-04-04 20:31:11] CPU: 81739843800% | Memory: 28797021749248 MB | Disk Read: 1911368416000 MB/s | Disk Write: 1020391807200 MB/s | Network In: 372890772500 Mbps | Network Out: 504133982100 Mbps | Active Connections: 325
[2026-04-04 20:30:11] CPU: 26600101200% | Memory: 3815946715136 MB | Disk Read: 1630747571000 MB/s | Disk Write: 1044475030400 MB/s | Network In: 870014496500 Mbps | Network Out: 591805569900 Mbps | Active Connections: 90
[2026-04-04 20:29:11] CPU: 50658917100% | Memory: 5368367529984 MB | Disk Read: 111754945000 MB/s | Disk Write: 584432913600 MB/s | Network In: 665794368000 Mbps | Network Out: 243899170800 Mbps | Active Connections: 181
[2026-04-04 20:28:11] CPU: 65700734500% | Memory: 31029119991808 MB | Disk Read: 380689841000 MB/s | Disk Write: 1431605832000 MB/s | Network In: 670485861000 Mbps | Network Out: 174281404200 Mbps | Active Connections: 273
[2026-04-04 20:27:11] CPU: 53071500000% | Memory: 34526226776064 MB | Disk Read: 1629089046000 MB/s | Disk Write: 1442494101600 MB/s | Network In: 182450717500 Mbps | Network Out: 179187323400 Mbps | Active Connections: 224
[2026-04-04 20:26:11] CPU: 50549450700% | Memory: 19099074019328 MB | Disk Read: 1054181494000 MB/s | Disk Write: 382771858400 MB/s | Network In: 942222552000 Mbps | Network Out: 564981655500 Mbps | Active Connections: 336
[2026-04-04 20:25:11] CPU: 78430780600% | Memory: 2744877449216 MB | Disk Read: 644274618000 MB/s | Disk Write: 1496277787200 MB/s | Network In: 122238920000 Mbps | Network Out: 79524666000 Mbps | Active Connections: 199
[2026-04-04 20:24:11] CPU: 158679903000% | Memory: 21134890336256 MB | Disk Read: 2047232410000 MB/s | Disk Write: 141660938400 MB/s | Network In: 580488847500 Mbps | Network Out: 605885919600 Mbps | Active Connections: 429
[2026-04-04 20:23:11] CPU: 64571195400% | Memory: 29604394549248 MB | Disk Read: 1795404206000 MB/s | Disk Write: 1214794096000 MB/s | Network In: 830606928000 Mbps | Network Out: 537679566900 Mbps | Active Connections: 477
[2026-04-04 20:22:11] CPU: 213974304700% | Memory: 25225233842176 MB | Disk Read: 1044376374000 MB/s | Disk Write: 322073274400 MB/s | Network In: 481146059000 Mbps | Network Out: 103818329100 Mbps | Active Connections: 54
[2026-04-04 20:21:11] CPU: 139586651900% | Memory: 13285353406464 MB | Disk Read: 1393574390000 MB/s | Disk Write: 126455794400 MB/s | Network In: 1038922830500 Mbps | Network Out: 383120074500 Mbps | Active Connections: 154
[2026-04-04 20:20:11] CPU: 62653098700% | Memory: 10670215282688 MB | Disk Read: 2014325189000 MB/s | Disk Write: 1715360239200 MB/s | Network In: 549607805000 Mbps | Network Out: 304942725900 Mbps | Active Connections: 300
[2026-04-04 20:19:11] CPU: 119090069500% | Memory: 29635795009536 MB | Disk Read: 1939070327000 MB/s | Disk Write: 1036089671200 MB/s | Network In: 918560449000 Mbps | Network Out: 151950345900 Mbps | Active Connections: 364
[2026-04-04 20:18:11] CPU: 138105785100% | Memory: 7785082978304 MB | Disk Read: 574282487000 MB/s | Disk Write: 447202234400 MB/s | Network In: 146779236000 Mbps | Network Out: 366718766700 Mbps | Active Connections: 177
[2026-04-04 20:17:11] CPU: 164631017400% | Memory: 15557265440768 MB | Disk Read: 336693729000 MB/s | Disk Write: 1521548900000 MB/s | Network In: 1058540935500 Mbps | Network Out: 419763371400 Mbps | Active Connections: 262
[2026-04-04 20:16:11] CPU: 107586964000% | Memory: 9591116955648 MB | Disk Read: 1727097802000 MB/s | Disk Write: 739612294400 MB/s | Network In: 408127078500 Mbps | Network Out: 73675916400 Mbps | Active Connections: 234
[2026-04-04 20:15:11] CPU: 163360828100% | Memory: 31900682698752 MB | Disk Read: 795118383000 MB/s | Disk Write: 808507017600 MB/s | Network In: 403083103000 Mbps | Network Out: 502100945100 Mbps | Active Connections: 318
[2026-04-04 20:14:11] CPU: 138944091400% | Memory: 26650379714560 MB | Disk Read: 1675015099000 MB/s | Disk Write: 682720698400 MB/s | Network In: 676451967500 Mbps | Network Out: 526611268500 Mbps | Active Connections: 60
[2026-04-04 20:13:11] CPU: 124131958200% | Memory: 30616967872512 MB | Disk Read: 1412340494000 MB/s | Disk Write: 555558766400 MB/s | Network In: 378116826000 Mbps | Network Out: 581957176800 Mbps | Active Connections: 359
[2026-04-04 20:12:11] CPU: 77119508900% | Memory: 13325603176448 MB | Disk Read: 23495480000 MB/s | Disk Write: 974889440000 MB/s | Network In: 845537818500 Mbps | Network Out: 362829744300 Mbps | Active Connections: 145
[2026-04-04 20:11:11] CPU: 27638928500% | Memory: 18339278897152 MB | Disk Read: 1652922828000 MB/s | Disk Write: 624554785600 MB/s | Network In: 842054812000 Mbps | Network Out: 311942799300 Mbps | Active Connections: 323
[2026-04-04 20:10:11] CPU: 79279604500% | Memory: 8156940107776 MB | Disk Read: 79987209000 MB/s | Disk Write: 1376939387200 MB/s | Network In: 717592313500 Mbps | Network Out: 124521148500 Mbps | Active Connections: 195
[2026-04-04 20:09:11] CPU: 140720845200% | Memory: 12449354530816 MB | Disk Read: 1451331994000 MB/s | Disk Write: 1693089919200 MB/s | Network In: 737967049000 Mbps | Network Out: 146718324900 Mbps | Active Connections: 106
[2026-04-04 20:08:11] CPU: 39318222400% | Memory: 8949929181184 MB | Disk Read: 58400551000 MB/s | Disk Write: 656182412800 MB/s | Network In: 568393996500 Mbps | Network Out: 329222372400 Mbps | Active Connections: 219
[2026-04-04 20:07:11] CPU: 18764086700% | Memory: 6936853135360 MB | Disk Read: 1728919178000 MB/s | Disk Write: 1563503293600 MB/s | Network In: 43148113500 Mbps | Network Out: 460546279500 Mbps | Active Connections: 439
